,query,link,lang,country,termid
7,Malnutrition,https://www.google.com/search?gl=NG&hl=en&q=Malnutrition+examples&sa=X&ved=2ahUKEwjI2c_D_Nn3AhWkTN8KHefLBvYQ1QJ6BAgnEAE,en,NG,53
0,Food Security,https://www.google.com/search?gl=NG&hl=en&q=Food+security+PDF&sa=X&ved=2ahUKEwjm1YvH_Nn3AhUXnXIEHdkID30Q1QJ6BAhUEAE,en,NG,54
1,Food Security,https://www.google.com/search?gl=NG&hl=en&q=Types+of+food+security&sa=X&ved=2ahUKEwjm1YvH_Nn3AhUXnXIEHdkID30Q1QJ6BAhTEAE,en,NG,54
2,Food Security,https://www.google.com/search?gl=NG&hl=en&q=Pillars+of+food+security&sa=X&ved=2ahUKEwjm1YvH_Nn3AhUXnXIEHdkID30Q1QJ6BAhSEAE,en,NG,54
3,Food Security,https://www.google.com/search?gl=NG&hl=en&q=What+is+food+security+in+agriculture&sa=X&ved=2ahUKEwjm1YvH_Nn3AhUXnXIEHdkID30Q1QJ6BAhQEAE,en,NG,54
4,Food Security,https://www.google.com/search?gl=NG&hl=en&q=Food+security+utilization&sa=X&ved=2ahUKEwjm1YvH_Nn3AhUXnXIEHdkID30Q1QJ6BAhPEAE,en,NG,54
5,Food Security,https://www.google.com/search?gl=NG&hl=en&q=Global+food+security&sa=X&ved=2ahUKEwjm1YvH_Nn3AhUXnXIEHdkID30Q1QJ6BAhOEAE,en,NG,54
6,Food Security,https://www.google.com/search?gl=NG&hl=en&q=Levels+of+food+security&sa=X&ved=2ahUKEwjm1YvH_Nn3AhUXnXIEHdkID30Q1QJ6BAhMEAE,en,NG,54
7,Food Security,https://www.google.com/search?gl=NG&hl=en&q=what+is+the+correlation+between+covid-19+and+food+security&sa=X&ved=2ahUKEwjm1YvH_Nn3AhUXnXIEHdkID30Q1QJ6BAhVEAE,en,NG,54
0,Calorie,https://www.google.com/search?hl=en&gl=NG&q=What+is+calories+in+body&sa=X&ved=2ahUKEwjN0dnI_Nn3AhXeEEQIHWx7D8oQ1QJ6BAhXEAE,en,NG,56
1,Calorie,https://www.google.com/search?hl=en&gl=NG&q=Types+of+calories&sa=X&ved=2ahUKEwjN0dnI_Nn3AhXeEEQIHWx7D8oQ1QJ6BAhWEAE,en,NG,56
2,Calorie,https://www.google.com/search?hl=en&gl=NG&q=Calorie+calculator&sa=X&ved=2ahUKEwjN0dnI_Nn3AhXeEEQIHWx7D8oQ1QJ6BAhVEAE,en,NG,56
3,Calorie,https://www.google.com/search?hl=en&gl=NG&q=Food+calorie+calculator&sa=X&ved=2ahUKEwjN0dnI_Nn3AhXeEEQIHWx7D8oQ1QJ6BAhREAE,en,NG,56
4,Calorie,https://www.google.com/search?hl=en&gl=NG&q=Are+calories+bad&sa=X&ved=2ahUKEwjN0dnI_Nn3AhXeEEQIHWx7D8oQ1QJ6BAhPEAE,en,NG,56
5,Calorie,https://www.google.com/search?hl=en&gl=NG&q=Best+calorie+calculator&sa=X&ved=2ahUKEwjN0dnI_Nn3AhXeEEQIHWx7D8oQ1QJ6BAhYEAE,en,NG,56
6,Calorie,https://www.google.com/search?hl=en&gl=NG&q=Why+do+we+need+calories&sa=X&ved=2ahUKEwjN0dnI_Nn3AhXeEEQIHWx7D8oQ1QJ6BAhEEAE,en,NG,56
0,Renewable Energy,https://www.google.com/search?ucbcb=1&gl=NG&hl=en&q=Non+renewable+energy&sa=X&ved=2ahUKEwi0go_K_Nn3AhUIj2oFHcQfD80Q1QJ6BAhGEAE,en,NG,58
1,Renewable Energy,https://www.google.com/search?ucbcb=1&gl=NG&hl=en&q=Renewable+energy+examples&sa=X&ved=2ahUKEwi0go_K_Nn3AhUIj2oFHcQfD80Q1QJ6BAhFEAE,en,NG,58
