,position,title,link,thumbnail,channel,duration,platform,date,query,lang,country,termid
1,2,La malnutrition : le corps - Corpus - réseau Canopé,https://www.reseau-canope.fr/corpus/video/la-malnutrition-le-corps-197.html,https://serpapi.com/searches/627cffe4e4a23d1579ecb11d/images/19d38d45c919504f3e641450511a741ee3d367c7dee60b39f133e43d7dce54ff.jpeg,,2:55,Réseau Canopé,28 oct. 2018,Malnutrition,fr,FR,53
2,3,La malnutrition : le soin - Corpus - réseau Canopé,https://www.reseau-canope.fr/corpus/video/la-malnutrition-le-soin-198.html,https://serpapi.com/searches/627cffe4e4a23d1579ecb11d/images/19d38d45c919504f9a0c132dfff7f111a5444ae388542352113427c11b36d46a.jpeg,,2:33,Réseau Canopé,10 juin 2016,Malnutrition,fr,FR,53
0,1,Les énergies renouvelables,https://www.youtube.com/watch?v=7HcS6pPo9aQ,https://i.ytimg.com/vi/7HcS6pPo9aQ/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3kSd2ob_fE1H984N4kgYz9ciABWhA,Stephan Berger,4:52,YouTube,9 sept. 2013,Énergie renouvelable,fr,FR,58
1,2,Les énergies renouvelables (SVT brevet),https://www.youtube.com/watch?v=WgJyhk7i80I,https://i.ytimg.com/vi/WgJyhk7i80I/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3mBn-gLk3PuRPuv3oFf_SQhcuibtQ,superBrevet by digiSchool,2:26,YouTube,22 oct. 2019,Énergie renouvelable,fr,FR,58
2,3,Quelle différence entre énergie renouvelable et énergie ...,https://www.youtube.com/watch?v=8yZ7-pO95Bo,https://i.ytimg.com/vi/8yZ7-pO95Bo/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3m_0ESzKMx11_jxycKZJlOahaMxkg,Planète Energies,2:11,YouTube,8 avr. 2021,Énergie renouvelable,fr,FR,58
0,1,Comment le réchauffement climatique va bouleverser l ...,https://www.youtube.com/watch?v=8nzRXxPnlPQ,https://serpapi.com/searches/627cfff22ff421d0610e8854/images/d8769919744e08ce9469e6dddce4e0b2723207806e9b1019d7a51af7e0e96f6c.jpeg,Le Monde,15:26,YouTube,11 juil. 2021,Changement climatique,fr,FR,59
1,2,Vidéo. Comment le changement climatique va bouleverser l ...,https://www.lemonde.fr/planete/video/2021/07/11/comment-le-changement-climatique-va-bouleverser-l-humanite_6087906_3244.html,https://serpapi.com/searches/627cfff22ff421d0610e8854/images/d8769919744e08cebe8b46f6ae706721fab6c398263ad6b8605744dc63765995.jpeg,Le Monde,,Le Monde,11 juil. 2021,Changement climatique,fr,FR,59
2,3,Vivre avec le changement climatique - L'eau - Regarder le ...,https://www.arte.tv/fr/videos/106121-001-A/vivre-avec-le-changement-climatique/,https://serpapi.com/searches/627cfff22ff421d0610e8854/images/d8769919744e08cec4181af20335cdd8816408960d1b4c002e9f698a950e1103.jpeg,,,Arte.tv,Il y a 3 jours,Changement climatique,fr,FR,59
0,1,Pollution des sols : outils et tutoriels pour les prélèvements et ...,https://www.brgm.fr/fr/actualite/video/pollution-sols-outils-tutoriels-prelevements-analyses,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScDG569K-ojiCwGTWe0GdcdFegY1wxFMkPHSHgH3KmLqY&s,,,BRGM,30 janv. 2020,Pollution du sol,fr,FR,65
1,2,Peut-on vivre sur un sol pollué ?,https://www.youtube.com/watch?v=EQPJ3XS7dlY,https://i.ytimg.com/vi/EQPJ3XS7dlY/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3l71K4tLr901ILIxK5Fjuj5A5FdfQ,Ministère de la Transition écologique,4:27,YouTube,22 mai 2014,Pollution du sol,fr,FR,65
2,3,7 choses que vous pouvez faire pour prévenir la pollution des ...,https://www.youtube.com/watch?v=3n_EDZnqp78,https://i.ytimg.com/vi/3n_EDZnqp78/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3l3-VNPEDignbGd8gVOXI1HFlvMdg,Food and Agriculture Organization of the United Nations,0:47,YouTube,20 déc. 2019,Pollution du sol,fr,FR,65
0,1,Sécheresse : les agriculteurs se rationnent - Journal de 13 ...,https://www.tf1.fr/tf1/jt-13h/videos/secheresse-les-agriculteurs-se-rationnent-25139533.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT24d0YJaw986rGQEUIN0lwPgCmGB13LKM8zwdXhglXSb8&s,,1:36,TF1,Il y a 1 heure,Sécheresse,fr,FR,71
1,2,Une sécheresse en hiver • FRANCE 24,https://www.youtube.com/watch?v=ZW3u2NTnvuE,https://i.ytimg.com/vi/ZW3u2NTnvuE/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3mkiNYoTGvrxYCqlFF2adGzz14P5Q,FRANCE 24,11:55,YouTube,Il y a 1 mois,Sécheresse,fr,FR,71
2,3,Climat : une inquiétante sécheresse en Espagne et au ...,https://www.youtube.com/watch?v=_ugRZYWia4Y,https://i.ytimg.com/vi/_ugRZYWia4Y/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3kMgGNk_mR1xiiiUwDyIb2qCWxZLQ,FRANCE 24,1:08,YouTube,14 févr. 2022,Sécheresse,fr,FR,71
